director_name,genres,movie_title,actor_1_name,actor_2_name,actor_3_name
Clint Eastwood,Action Crime Drama Thriller,absolute power,Clint Eastwood,Mark Margolis,Scott Glenn
Ridley Scott,Action Drama War,g.i. jane,Viggo Mortensen,Demi Moore,John Michael Higgins
David Fincher,Drama Mystery Thriller,the game,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet
Christophe Gans,Adventure Horror Mystery,silent hill,Radha Mitchell,Deborah Kara Unger,Alice Krige
Howard Deutch,Comedy Sport,the replacements,Keanu Reeves,Jon Favreau,Faizon Love
Jon Hurwitz,Comedy,american reunion,Alyson Hannigan,Dania Ramirez,Natasha Lyonne
F. Gary Gray,Action Crime Drama Mystery Thriller,the negotiator,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan
Steven Quale,Action Thriller,into the storm,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence
John Landis,Action Comedy Crime Thriller,beverly hills cop iii,Louis Lombardi,Jon Tenney,Gilbert R. Hill
Joe Dante,Comedy Fantasy Horror,gremlins 2: the new batch,Christopher Lee,Robert Picardo,Phoebe Cates
David Dobkin,Crime Drama,the judge,Robert Downey Jr.,Robert Duvall,Leighton Meester
Mimi Leder,Action Thriller,the peacemaker,Armin Mueller-Stahl,Holt McCallany,Marcel Iures
Alexander Witt,Action Horror Sci-Fi Thriller,resident evil: apocalypse,Milla Jovovich,Thomas Kretschmann,Mike Epps
Beeban Kidron,Comedy Drama Romance,bridget jones: the edge of reason,Colin Firth,Jim Broadbent,Celia Imrie
Carl Franklin,Crime Drama Romance Thriller,out of time,Denzel Washington,Sanaa Lathan,John Billingsley
Steven Seagal,Action Adventure Thriller,on deadly ground,Mike Starr,Joan Chen,Sven-Ole Thorsen
Robert Rodriguez,Action Adventure Family Fantasy,the adventures of sharkboy and lavagirl 3-d,Taylor Lautner,Kristin Davis,Taylor Dooley
Danny Boyle,Adventure Drama Thriller,the beach,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills
Garry Marshall,Comedy Drama Romance,raising helen,Amber Valletta,Felicity Huffman,Spencer Breslin
James McTeigue,Action Crime Thriller,ninja assassin,Shô Kosugi,Ben Miles,Rain
Sam Raimi,Drama Romance Sport,for love of the game,J.K. Simmons,Kelly Preston,Carmine Giovinazzo
unknown,Crime Drama Mystery,a touch of frost            ,David Jason,Bruce Alexander,John Lyons
Andrew Bergman,Comedy Crime Drama Thriller,striptease,Demi Moore,Rumer Willis,Paul Guilfoyle
Tom Dey,Comedy Family,marmaduke,Emma Stone,Judy Greer,Steve Coogan
Clint Eastwood,Drama Fantasy,hereafter,Matt Damon,Jay Mohr,Cécile De France
Barbet Schroeder,Crime Mystery Thriller,murder by numbers,Ryan Gosling,Chris Penn,Agnes Bruckner
Richard Donner,Action Crime Thriller,assassins,Muse Watson,Sylvester Stallone,Kelly Rowan
Peter Webber,Crime Drama Thriller,hannibal rising,Li Gong,Stephen Walters,Richard Brake
Rob Reiner,Comedy Drama Romance,the story of us,Bruce Willis,Tim Matheson,Rita Wilson
Andrew Niccol,Action Adventure Romance Sci-Fi Thriller,the host,J.D. Evermore,Chandler Canterbury,Rachel Roberts
John McTiernan,Action Crime Drama Mystery Thriller,basic,Connie Nielsen,Harry Connick Jr.,Tim Daly
Clint Eastwood,Action Crime Drama Mystery Thriller,blood work,Clint Eastwood,Anjelica Huston,Rick Hoffman
Tom Tykwer,Action Crime Drama Mystery Thriller,the international,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl
John Carpenter,Action Adventure Sci-Fi Thriller,escape from l.a.,Steve Buscemi,Valeria Golino,Michelle Forbes
unknown,Drama Mystery Thriller,twisted            ,Grey Damon,Brittany Curran,Aaron Hill
Brad Bird,Action Adventure Animation Comedy Drama Family Sci-Fi,the iron giant,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh
Wes Anderson,Adventure Comedy Drama,the life aquatic with steve zissou,Bill Murray,Anjelica Huston,Matthew Gray Gubler
Gary Ross,Action Biography Drama History War,free state of jones,Matthew McConaughey,Donald Watkins,Jessica Collins
Alan Parker,Crime Drama Thriller,the life of david gale,Kevin Spacey,Kate Winslet,Matt Craven
Stephen Herek,Action Comedy,man of the house,Christina Milian,Vanessa Ferlito,Kelli Garner
Jaume Collet-Serra,Action Crime Drama Thriller,run all night,Liam Neeson,Common,Bruce McGill
David Cronenberg,Crime Mystery Thriller,eastern promises,Viggo Mortensen,Naomi Watts,Raza Jaffrey
John Stockwell,Action Adventure Crime Thriller,into the blue,Paul Walker,James Frain,Ashley Scott
Luc Besson,Adventure Biography Drama History War,the messenger: the story of joan of arc,Paul Brooke,David Bailie,Rab Affleck
David Gordon Green,Adventure Comedy Fantasy,your highness,Natalie Portman,Zooey Deschanel,James Franco
Jim Sheridan,Drama Mystery Thriller,dream house,Naomi Watts,Gregory Smith,Sarah Gadon
Costa-Gavras,Crime Drama Thriller,mad city,Mia Kirshner,Blythe Danner,William Atherton
Patrick Read Johnson,Adventure Comedy Crime Drama Family,baby's day out,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon
Roland Joffé,Drama Romance,the scarlet letter,Gary Oldman,Robert Duvall,Demi Moore
Doug Liman,Biography Drama Thriller,fair game,Naomi Watts,Ty Burrell,Brooke Smith
unknown,Action Drama Sci-Fi,defiance            ,Julie Benz,Tony Curran,Grant Bowler
Tony Scott,Action Biography Crime Drama Thriller,domino,Ian Ziering,Mo'Nique,Edgar Ramírez
William Friedkin,Crime Drama Thriller,jade,Michael Biehn,Chazz Palminteri,Linda Fiorentino
Mark Neveldine,Action Sci-Fi Thriller,gamer,Gerard Butler,Logan Lerman,Alison Lohman
Richard LaGravenese,Drama Fantasy Romance,beautiful creatures,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince
Danny DeVito,Comedy Crime Drama Thriller,death to smoochy,Robin Williams,Vincent Schiavelli,Danny Woodburn
Ben Stiller,Comedy,zoolander 2,Milla Jovovich,Will Ferrell,Justin Theroux
George Armitage,Comedy Crime,the big bounce,Morgan Freeman,Andrew Wilson,Willie Nelson
Mike Nichols,Comedy Sci-Fi,what planet are you from?,Judy Greer,Linda Fiorentino,Garry Shandling
Patrick Lussier,Action Fantasy Thriller,drive angry,Nicolas Cage,Billy Burke,Katy Mixon
Andrzej Bartkowiak,Action Crime Drama Mystery Thriller,street fighter: the legend of chun-li,Chris Klein,Robin Shou,Josie Ho
James Wong,Action Sci-Fi Thriller,the one,Jason Statham,Jet Li,Delroy Lindo
unknown,Drama Romance Sci-Fi,outlander            ,Tobias Menzies,Graham McTavish,Stephen Walters
Renny Harlin,Action Adventure Comedy Crime Music Mystery,the adventures of ford fairlane,Lauren Holly,Gilbert Gottfried,David Patrick Kelly
Richard Curtis,Comedy Drama Music,pirate radio,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge
Steven Soderbergh,Crime Drama Thriller,traffic,Michael O'Neill,Jacob Vargas,James Lew
Steven Spielberg,Action Adventure Fantasy,indiana jones and the last crusade,Harrison Ford,Julian Glover,Alison Doody
Joe Wright,Drama Romance,anna karenina,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen
Neill Blomkamp,Action Crime Drama Sci-Fi Thriller,chappie,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo
Phillip Noyce,Crime Drama Mystery Thriller,the bone collector,Denzel Washington,Angelina Jolie Pitt,Leland Orser
David Fincher,Crime Drama Thriller,panic room,Kristen Stewart,Dwight Yoakam,Mel Rodriguez
Chuck Bowman,Horror Thriller,the tooth fairy,P.J. Soles,Lochlyn Munro,Steve Bacic
David O. Russell,Action Adventure Comedy Drama War,three kings,Judy Greer,Jamie Kennedy,Mykelti Williamson
Daniel Espinosa,Crime Drama Thriller,child 44,Tom Hardy,Fares Fares,Michael Nardone
Jerry Zucker,Adventure Comedy,rat race,Corinna Harney,Douglas Haase,Vince Vieluf
Iain Softley,Drama Mystery Sci-Fi,k-pax,Kevin Spacey,Jeff Bridges,Alfre Woodard
James Mangold,Comedy Fantasy Romance,kate & leopold,Hugh Jackman,Natasha Lyonne,Bradley Whitford
Harold Ramis,Comedy Fantasy Romance,bedazzled,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray
Francis Ford Coppola,Crime Drama Music,the cotton club,Nicolas Cage,Bob Hoskins,Fred Gwynne
James Mangold,Adventure Crime Drama Western,3:10 to yuma,Christian Bale,Logan Lerman,Gretchen Mol
Olivier Megaton,Action Thriller,taken 3,Liam Neeson,Dougray Scott,Jon Gries
Steven Soderbergh,Crime Drama Romance Thriller,out of sight,Don Cheadle,Albert Brooks,Keith Hudson
Ben Stiller,Comedy Drama Thriller,the cable guy,Matthew Broderick,Janeane Garofalo,Andy Dick
Deepa Mehta,Drama Romance War,earth,Nandita Das,Gulshan Grover,Eric Peterson
Warren Beatty,Action Comedy Crime Music Romance Thriller,dick tracy,Charlie Korsmo,Warren Beatty,Seymour Cassel
John McTiernan,Crime Romance Thriller,the thomas crown affair,Mark Margolis,Faye Dunaway,Denis Leary
Penny Marshall,Biography Comedy Drama,riding in cars with boys,Rosie Perez,Adam Garcia,Alissa Dean
Ted Kotcheff,Action Adventure Drama,first blood,Sylvester Stallone,Brian Dennehy,Chris Mulkey
Andrei Tarkovsky,Drama Mystery Sci-Fi,solaris,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk
Paul Bolger,Adventure Animation Comedy Family Fantasy,happily n'ever after,Sarah Michelle Gellar,George Carlin,Rob Paulsen
Stephen Frears,Drama Horror Romance Thriller,mary reilly,Julia Roberts,Bronagh Gallagher,George Cole
P.J. Hogan,Comedy Romance,my best friend's wedding,Julia Roberts,Christopher Masterson,Rupert Everett
Joe Roth,Comedy Romance,america's sweethearts,Julia Roberts,Rainn Wilson,Larry King
Christopher Nolan,Drama Mystery Thriller,insomnia,Al Pacino,Maura Tierney,Crystal Lowe
Jonathan Frakes,Action Adventure Drama Sci-Fi Thriller,star trek: first contact,LeVar Burton,Alfre Woodard,Jonathan Frakes
Jimmy Hayward,Action Drama Fantasy Thriller Western,jonah hex,Michael Fassbender,Billy Blair,Julia Jones
Edward Zwick,Action Drama Mystery Thriller War,courage under fire,Denzel Washington,Matt Damon,Scott Glenn
Tom Shadyac,Comedy Fantasy Romance,liar liar,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb
Brad Furman,Biography Crime Drama Thriller,the infiltrator,Joseph Gilgun,Amy Ryan,Olympia Dukakis
Terence Young,Drama History War,inchon,Laurence Olivier,Ben Gazzara,Jacqueline Bisset
Brian Levant,Comedy Family Fantasy,the flintstones,Jonathan Winters,Elizabeth Perkins,Harvey Korman
Olivier Megaton,Action Crime Thriller,taken 2,Liam Neeson,Luke Grimes,D.B. Sweeney
David Zucker,Comedy,scary movie 3,Regina Hall,Pamela Anderson,Jenny McCarthy
Donald Petrie,Action Comedy Crime Romance,miss congeniality,Candice Bergen,Wendy Raquel Robinson,Heather Burns
Eric Brevig,Action Adventure Family Fantasy Sci-Fi,journey to the center of the earth,Josh Hutcherson,Brendan Fraser,Anita Briem
Garry Marshall,Comedy Family Romance,the princess diaries 2: royal engagement,Anne Hathaway,Raven-Symoné,Hector Elizondo
Alan J. Pakula,Crime Drama Mystery Thriller,the pelican brief,Denzel Washington,Julia Roberts,Tony Goldwyn
Joel Schumacher,Crime Drama Mystery Thriller,the client,Bradley Whitford,Anthony LaPaglia,Brad Renfro
Rob Reiner,Adventure Comedy Drama,the bucket list,Morgan Freeman,Noel Gugliemi,Sean Hayes
Phillip Noyce,Action Thriller,patriot games,Harrison Ford,Polly Walker,Patrick Bergin
Robert Luketic,Comedy Romance,monster-in-law,Adam Scott,Jane Fonda,Elaine Stritch
Denis Villeneuve,Crime Drama Mystery Thriller,prisoners,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette
Antoine Fuqua,Crime Drama Thriller,training day,Denzel Washington,Snoop Dogg,Tom Berenger
Dean Parisot,Adventure Comedy Sci-Fi,galaxy quest,Alan Rickman,Enrico Colantoni,Robin Sachs
Keenen Ivory Wayans,Comedy,scary movie 2,Natasha Lyonne,Veronica Cartwright,Andy Richter
James Bobin,Adventure Comedy Family Musical,the muppets,Bill Cobbs,Eric Jacobson,Steve Whitmire
Stephen Norrington,Action Horror,blade,Sanaa Lathan,Traci Lords,Udo Kier
Thomas Carter,Drama Sport,coach carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard
Roger Michell,Drama Thriller,changing lanes,Sydney Pollack,Matt Malloy,Bruce Altman
Luis Llosa,Action Adventure Horror Thriller,anaconda,Frank Welker,Eric Stoltz,Kari Wuhrer
David McNally,Comedy Drama Music Romance,coyote ugly,Adam Garcia,Tyra Banks,Izabella Miko
Richard Curtis,Comedy Drama Romance,love actually,Colin Firth,Liam Neeson,Kris Marshall
John Lasseter,Adventure Animation Comedy Family Fantasy,a bug's life,Kevin Spacey,Madeline Kahn,John Ratzenberger
Albert Hughes,Horror Mystery Thriller,from hell,Johnny Depp,Jason Flemyng,Ian Richardson
Luis Llosa,Action Crime Drama Romance Thriller,the specialist,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.
Ron Shelton,Comedy Drama Romance Sport,tin cup,Don Johnson,Cheech Marin,Rene Russo
Melville Shavelson,Comedy Family,"yours, mine and ours",Lucille Ball,Tom Bosley,Tim Matheson
Jesse Dylan,Comedy Family Romance Sport,kicking & screaming,Josh Hutcherson,Will Ferrell,Robert Duvall
Garth Jennings,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy,Zooey Deschanel,Kelly Macdonald,Thomas Lennon
Joel Zwick,Comedy Family Fantasy Romance,fat albert,Dania Ramirez,Nick Zano,Alice Greczyn
Russell Mulcahy,Action Horror Sci-Fi Thriller,resident evil: extinction,Milla Jovovich,Mike Epps,James Tumminia
Frank Coraci,Comedy Romance,blended,Bella Thorne,Adam Sandler,Joel McHale
Wayne Wang,Adventure Comedy Drama,last holiday,LL Cool J,Alicia Witt,Timothy Hutton
Curtis Hanson,Action Adventure Crime Thriller,the river wild,Meryl Streep,Glenn Morshower,William Lucking
Frank Oz,Drama Family Fantasy,the indian in the cupboard,Steve Coogan,Vincent Kartheiser,David Keith
Oliver Stone,Crime Drama Thriller,savages,Demián Bichir,Shea Whigham,Gary Stretch
David R. Ellis,Action Crime Thriller,cellular,Richard Burgi,Valerie Cruz,Will Beinbrink
Peter Howitt,Action Adventure Comedy,johnny english,Kevin McNally,Natalie Imbruglia,Ben Miller
John A. Davis,Adventure Animation Comedy Family Fantasy,the ant bully,Nicolas Cage,Meryl Streep,Julia Roberts
David Lynch,Action Adventure Sci-Fi,dune,Virginia Madsen,Jürgen Prochnow,José Ferrer
Julie Taymor,Drama Fantasy Musical Romance,across the universe,Jim Sturgess,T.V. Carpio,Robert Clohessy
Sam Mendes,Drama Romance,revolutionary road,Leonardo DiCaprio,Kate Winslet,Joe Komara
Richard Donner,Action Crime Drama Thriller,16 blocks,Bruce Willis,David Zayas,Sasha Roiz
Mathieu Kassovitz,Action Adventure Sci-Fi Thriller,babylon a.d.,Vin Diesel,Charlotte Rampling,David Belle
John Gray,Action Comedy Crime Drama Thriller,the glimmer man,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans
Harold Ramis,Comedy Romance Sci-Fi,multiplicity,John de Lancie,Brian Doyle-Murray,Obba Babatundé
John Schultz,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic,Malese Jow,Carter Jenkins,Tim Meadows
Sean Penn,Crime Drama Mystery Thriller,the pledge,Costas Mandylor,Adrien Dorval,Nels Lennarson
Susan Stroman,Comedy Musical,the producers,Jon Lovitz,Will Ferrell,Matthew Broderick
Pete Travis,Action Sci-Fi,dredd,Wood Harris,Jason Cope,Rakie Ayola
Simon Wincer,Action Adventure Comedy Fantasy,the phantom,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson
Billy Bob Thornton,Drama Romance Western,all the pretty horses,Matt Damon,Henry Thomas,Sam Shepard
Oliver Stone,Biography Drama History,nixon,Anthony Hopkins,Bob Hoskins,Joan Allen
Roman Polanski,Mystery Thriller,the ghost writer,Jim Belushi,Olivia Williams,Timothy Hutton
Stephen Sommers,Action Adventure Horror Sci-Fi,deep rising,Djimon Hounsou,Jason Flemyng,Wes Studi
Spike Lee,Action Crime Drama Thriller War,miracle at st. anna,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso
Yimou Zhang,Drama Romance,curse of the golden flower,Li Gong,Ye Liu,Man Li
Danny Pang,Action Crime Thriller,bangkok dangerous,Nicolas Cage,Charlie Yeung,James With
Barry Sonnenfeld,Comedy Crime Thriller,big trouble,Zooey Deschanel,Janeane Garofalo,Omar Epps
Mike Newell,Drama Romance,love in the time of cholera,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde
unknown,Drama Fantasy Horror Mystery,the returned            ,Pierre Perrier,Clotilde Hesme,Céline Sallette
George P. Cosmatos,Action Thriller,shadow conspiracy,Sam Waterston,Ben Gazzara,Nicholas Turturro
Oliver Parker,Action Adventure Comedy Crime,johnny english reborn,Daniel Kaluuya,Tim McInnerny,Togo Igawa
Lawrence Kasanoff,Action Animation Comedy Family Fantasy,foodfight!,Jerry Stiller,Larry Miller,Harvey Fierstein
Ben Affleck,Biography Drama History Thriller,argo,Clea DuVall,Scoot McNairy,Tate Donovan
Andrew Davis,Action Adventure Crime Drama Mystery Thriller,the fugitive,Harrison Ford,Daniel Roebuck,Sela Ward
Andy Tennant,Action Comedy Romance,the bounty hunter,Gerard Butler,Dorian Missick,Peter Greene
Barry Levinson,Crime Drama Thriller,sleepers,Robert De Niro,Brad Pitt,Minnie Driver
George P. Cosmatos,Action Adventure Thriller War,rambo: first blood part ii,Sylvester Stallone,Julia Nickson,Martin Kove
Brian Gibson,Drama Thriller,the juror,Joseph Gordon-Levitt,Demi Moore,Anne Heche
Norman Ferguson,Animation Family Fantasy Musical,pinocchio,Mel Blanc,Dickie Jones,Cliff Edwards
Michael Cimino,Adventure Drama Western,heaven's gate,Jeff Bridges,Sam Waterston,Isabelle Huppert
Len Wiseman,Action Adventure Fantasy Sci-Fi Thriller,underworld: evolution,Sophia Myles,Tony Curran,Derek Jacobi
Paul McGuigan,Drama Horror Sci-Fi Thriller,victor frankenstein,Daniel Radcliffe,Spencer Wilding,Daniel Mays
Gus Van Sant,Drama,finding forrester,F. Murray Abraham,Rob Brown,Michael Nouri
Betty Thomas,Comedy Drama,28 days,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins
Louis Leterrier,Action Crime Drama Thriller,unleashed,Morgan Freeman,Jet Li,Bob Hoskins
Roger Kumble,Comedy Romance,the sweetest thing,Judith Chapman,Lillian Adams,Chelsea Bond
Sydney Pollack,Drama Mystery Thriller,the firm,Tom Cruise,Holly Hunter,Wilford Brimley
Burr Steers,Drama Fantasy Romance,charlie st. cloud,Augustus Prew,Charlie Tahan,Valerie Tian
Simon West,Action Crime Thriller,the mechanic,Jason Statham,Tony Goldwyn,Mini Anden
Phil Lord,Action Comedy Crime,21 jump street,Channing Tatum,Dax Flame,Rob Riggle
Roger Michell,Comedy Drama Romance,notting hill,Julia Roberts,Clarke Peters,Dylan Moran
Peter Lord,Adventure Animation Comedy Drama Family,chicken run,Imelda Staunton,Miranda Richardson,Julia Sawalha
John Hamburg,Comedy Romance,along came polly,Philip Seymour Hoffman,Masi Oka,Debra Messing
Reginald Hudlin,Comedy Drama Romance,boomerang,John Witherspoon,Eartha Kitt,Geoffrey Holder
Paul Feig,Action Comedy Crime,the heat,Michael Rapaport,William Xifaras,Demián Bichir
Joseph L. Mankiewicz,Biography Drama History Romance,cleopatra,Martin Landau,Richard Burton,Roddy McDowall
Frank Coraci,Action Comedy Sport,here comes the boom,Salma Hayek,Reggie Lee,Charice
Carl Franklin,Crime Drama Mystery Thriller,high crimes,Morgan Freeman,Adam Scott,Bruce Davison
Barbra Streisand,Comedy Drama Romance,the mirror has two faces,Jeff Bridges,Austin Pendleton,Mimi Rogers
Mark Pellington,Drama Horror Mystery Thriller,the mothman prophecies,Debra Messing,Will Patton,David Eigenberg
Larry Charles,Comedy,brüno,Bono,Elton John,Slash
John Glen,Action Adventure Thriller,licence to kill,Robert Davi,Talisa Soto,Anthony Zerbe
Catherine Hardwicke,Fantasy Horror Mystery Thriller,red riding hood,Gary Oldman,Billy Burke,Virginia Madsen
John Herzfeld,Action Crime Drama Thriller,15 minutes,Robert De Niro,Charlize Theron,Kelsey Grammer
Annabel Jankel,Adventure Comedy Family Fantasy Sci-Fi,super mario bros.,Bob Hoskins,Fisher Stevens,Fiona Shaw
Andrew Niccol,Crime Drama Thriller,lord of war,Nicolas Cage,Jeremy Crutchley,Jared Burke
Yimou Zhang,Action Adventure History,hero,Jet Li,Tony Chiu Wai Leung,Maggie Cheung
Julie Anne Robinson,Action Comedy Crime Romance Thriller,one for the money,Fisher Stevens,Debbie Reynolds,Patrick Fischler
Evan Goldberg,Comedy,the interview,James Franco,Randall Park,Anders Holm
Sngmoo Lee,Action Fantasy Western,the warrior's way,Tony Cox,Dong-gun Jang,Jed Brophy
unknown,Comedy War,mchale's navy            ,Tim Conway,Gavin MacLeod,Bob Hastings
Jean-Pierre Jeunet,Action Comedy Crime,micmacs,Omar Sy,Dany Boon,André Dussollier
Curtis Hanson,Drama Music,8 mile,Mekhi Phifer,Omar Benson Miller,Evan Jones
Jamel Debbouze,Adventure Animation Comedy Family,animal kingdom: let's go ape,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau
Brian Helgeland,Action Adventure Romance,a knight's tale,Heath Ledger,Rufus Sewell,Bérénice Bejo
Gordon Chan,Action Comedy Fantasy,the medallion,Julian Sands,Lee Evans,Anthony Chau-Sang Wong
M. Night Shyamalan,Drama Mystery Thriller,the sixth sense,Bruce Willis,Haley Joel Osment,Olivia Williams
Asger Leth,Action Crime Thriller,man on a ledge,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron
David Frankel,Comedy,the big year,Joel McHale,Kevin Pollak,JoBeth Williams
John G. Avildsen,Action Drama Family Sport,the karate kid,Martin Kove,William Zabka,William Bassett
David O. Russell,Crime Drama,american hustle,Jennifer Lawrence,Christian Bale,Bradley Cooper
Anne Fletcher,Comedy Drama Romance,the proposal,Ryan Reynolds,Denis O'Hare,Craig T. Nelson
Bruce Beresford,Crime Mystery Thriller,double jeopardy,Bruce Greenwood,Annabeth Gish,Bruce Campbell
Robert Zemeckis,Adventure Comedy Sci-Fi,back to the future part ii,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
Luc Besson,Action Sci-Fi Thriller,lucy,Scarlett Johansson,Morgan Freeman,Amr Waked
Sam Taylor-Johnson,Drama Romance,fifty shades of grey,Jennifer Ehle,Luke Grimes,Callum Rennie
Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,spy kids 3-d: game over,Sylvester Stallone,Salma Hayek,Alexa PenaVega
Joel Schumacher,Crime Drama Thriller,a time to kill,Kevin Spacey,Matthew McConaughey,Oliver Platt
Shawn Levy,Comedy Family,cheaper by the dozen,Tom Welling,Alyson Stoner,Bonnie Hunt
Peter Berg,Action Biography Drama Thriller War,lone survivor,Jerry Ferrara,Scott Elrod,Dan Bilzerian
Penny Marshall,Comedy Drama Sport,a league of their own,Tom Hanks,Lori Petty,Rosie O'Donnell
James Wan,Horror Mystery Thriller,the conjuring 2,Javier Botet,Frances O'Connor,Robin Atkin Downes
David Fincher,Biography Drama,the social network,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope
Ken Kwapis,Comedy Drama Romance,he's just not that into you,Carmen Perez,Sabrina Revelle,Sachiko Ishida
David Zucker,Comedy,scary movie 4,Beau Mirchoff,Carmen Electra,Regina Hall
Wes Craven,Horror Mystery,scream 3,Kelly Rutherford,Roger Jackson,Nancy O'Dell
Robert Zemeckis,Adventure Comedy Sci-Fi Western,back to the future part iii,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
Etan Cohen,Comedy Crime,get hard,Will Ferrell,Alison Brie,Craig T. Nelson
Francis Ford Coppola,Fantasy Horror Romance,bram stoker's dracula,Keanu Reeves,Anthony Hopkins,Gary Oldman
Nora Ephron,Biography Drama Romance,julie & julia,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito
Brian Helgeland,Biography Drama Sport,42,Harrison Ford,Christopher Meloni,Nicole Beharie
Anthony Minghella,Crime Drama Thriller,the talented mr. ripley,Philip Seymour Hoffman,Matt Damon,Jack Davenport
Bobby Farrelly,Comedy,dumb and dumber to,Bill Murray,Kathleen Turner,Rob Riggle
Frank Marshall,Adventure Drama Family,eight below,Paul Walker,Bruce Greenwood,Wendy Crewson
Nancy Meyers,Comedy Drama,the intern,Robert De Niro,Anne Hathaway,Rene Russo
Tim Story,Action Comedy,ride along 2,Olivia Munn,Nadine Velazquez,Bruce McGill
Michael Mann,Action Adventure Drama Romance War,the last of the mohicans,Wes Studi,Terry Kinney,Eric Schweig
Taylor Hackford,Biography Drama Music,ray,Bokeem Woodbine,Curtis Armstrong,Harry Lennix
Frank Miller,Crime Thriller,sin city,Rosario Dawson,Powers Boothe,Jason Douglas
Pete Travis,Crime Drama Mystery Thriller,vantage point,Dennis Quaid,Edgar Ramírez,William Hurt
John Hamburg,Comedy Romance,"i love you, man",J.K. Simmons,Jon Favreau,Jane Curtin
Bobby Farrelly,Comedy Drama Fantasy Romance,shallow hal,Jason Alexander,Bruce McGill,Susan Ward
Oliver Stone,Drama History Thriller,jfk,Sally Kirkland,Jay O. Sanders,Cheryl Penland
John Whitesell,Comedy Crime,big momma's house 2,Chloë Grace Moretz,Nia Long,Marisol Nichols
Gore Verbinski,Adventure Comedy Crime Romance,the mexican,J.K. Simmons,Brad Pitt,Julia Roberts
Angelina Jolie Pitt,Biography Drama Sport War,unbroken,Finn Wittrock,Jack O'Connell,Alex Russell
Burr Steers,Comedy Drama Family Fantasy Romance,17 again,Matthew Perry,Hunter Parrish,Thomas Lennon
Nick Cassavetes,Comedy Romance,the other woman,Don Johnson,Kate Upton,David Thornton
David R. Ellis,Horror,the final destination,Krista Allen,Andrew Fiscella,Shantel VanSanten
Steven Spielberg,Drama History Thriller,bridge of spies,Tom Hanks,Mark Rylance,Amy Ryan
John Moore,Action Drama Thriller War,behind enemy lines,Joaquim de Almeida,David Keith,Sam Jaeger
Nicholas Stoller,Comedy Music,get him to the greek,Pink,Mario Lopez,Lino Facioli
Peter Chelsom,Comedy Drama Romance,shall we dance,Lisa Ann Walter,Nick Cannon,Omar Benson Miller
Joe Dante,Action Adventure Comedy Family Sci-Fi,small soldiers,Kirsten Dunst,Denis Leary,Robert Picardo
Mark A.Z. Dippé,Action Horror,spawn,Michael Jai White,Frank Welker,Miko Hughes
Kevin Reynolds,Action Adventure Drama Romance Thriller,the count of monte cristo,Henry Cavill,James Frain,Michael Wincott
Brad Furman,Crime Drama Thriller,the lincoln lawyer,Matthew McConaughey,Margarita Levieva,Frances Fisher
Jaume Collet-Serra,Action Mystery Thriller,unknown,Liam Neeson,Frank Langella,Aidan Quinn
Christopher Nolan,Drama Mystery Sci-Fi Thriller,the prestige,Christian Bale,Hugh Jackman,Scarlett Johansson
Sean Anders,Comedy Crime,horrible bosses 2,Kevin Spacey,Christoph Waltz,Lindsay Sloane
Cal Brunker,Adventure Animation Comedy Family Sci-Fi,escape from planet earth,Brendan Fraser,Paul Scheer,Jonathan Morgan Heit
Mel Gibson,Action Adventure Drama Thriller,apocalypto,Rudy Youngblood,Dalia Hernández,Jonathan Brewer
John Glen,Action Adventure Thriller,the living daylights,Joe Don Baker,Desmond Llewelyn,Art Malik
Nimród Antal,Action Adventure Sci-Fi Thriller,predators,Topher Grace,Alice Braga,Derek Mears
